UID,taxon,genus,species,type,year,latitude,longitude,locality,collector
-193241189,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.73472,-80.73432,"Carroll County, Virginia",NA
-155704548,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.735535,-83.672646,"Bell County, Kentucky",NA
-1318132621,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.739468,-84.48222,"McCreary County, Kentucky",NA
898721226,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.84495,-81.53354,"Smyth County, Virginia",NA
-747571373,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.856186,-83.21501,"Harlan County, Kentucky",NA
-219953387,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.921074,-81.085045,"Wythe County, Virginia",NA
-1349703614,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.93601,-80.36317,"Floyd County, Virginia",NA
-838858645,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.937885,-82.09539,"Russell County, Virginia",NA
575396495,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.974564,-82.62167,"Wise County, Virginia",NA
1027976917,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,36.99322,-79.88081,"Franklin County, Virginia",NA
971105669,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.063187,-80.71385,"Pulaski County, Virginia",NA
136285217,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.094173,-83.38425,"Leslie County, Kentucky",NA
1838593504,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.102592,-84.576485,"Pulaski County, Kentucky",NA
1053148207,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.11134,-84.12001,"Laurel County, Kentucky",NA
-1981087558,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.116634,-82.35126,"Dickenson County, Virginia",NA
-1111237296,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.11741,-82.85462,"Letcher County, Kentucky",NA
2000869399,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.12551,-81.56305,"Tazewell County, Virginia",NA
1338559481,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.13221,-81.126686,"Bland County, Virginia",NA
1151074908,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.26662,-82.03552,"Buchanan County, Virginia",NA
886712073,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.34734,-82.95404,"Knott County, Kentucky",NA
2080959534,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.371586,-81.64819,"McDowell County, West Virginia",NA
-1090396671,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.405804,-81.11356,"Mercer County, West Virginia",NA
-1825946605,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.46797,-82.39368,"Pike County, Kentucky",NA
-523719910,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.609825,-81.5412,"Wyoming County, West Virginia",NA
-1923805128,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.656685,-80.85702,"Summers County, West Virginia",NA
669692596,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.775948,-81.25566,"Raleigh County, West Virginia",NA
755762554,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,37.949802,-80.45007,"Greenbrier County, West Virginia",NA
1299996150,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.031136,-81.087166,"Fayette County, West Virginia",NA
646289993,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.290257,-80.7964,"Nicholas County, West Virginia",NA
-280161242,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.322018,-80.00787,"Pocahontas County, West Virginia",NA
-533313588,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.350323,-79.5563,"Highland County, Virginia",NA
694616722,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.494637,-80.434784,"Webster County, West Virginia",NA
621536989,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.780277,-79.868126,"Randolph County, West Virginia",NA
281284542,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,38.900604,-80.23182,"Upshur County, West Virginia",NA
537422033,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,39.09827,-79.56097,"Monongahela National Forest. SW of Thomas, along Forest Road 18/West Virginia Country Road 27, on north slope above the North Fork of the Blackwater River",D. E. Atha
335378911,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,39.103554,-79.56694,"Tucker County, West Virginia",NA
1526353837,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,39.512047,-80.24275,"Marion County, West Virginia",NA
-461485872,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,39.62561,-80.0513,"Monongalia County, West Virginia",NA
1903554324,Magnolia fraseri,Magnolia,fraseri,Insitu,2021,43.7417,-79.3733,Toronto,"Owens, L. T."
