taxonID,datasetID,family,genus,specificEpithet,infraspecificEpithet,taxonRank
4173700,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,hypoblematosum,NA,species
2878162,7ddf754f-d193-4cc9-b351-99906754a03b,Fagaceae,Quercus,henriquesii,NA,species
2878161,7ddf754f-d193-4cc9-b351-99906754a03b,Fagaceae,Quercus,andegavensis,duffourii,variety
2878163,7ddf754f-d193-4cc9-b351-99906754a03b,Fagaceae,Quercus,andegavensis,rechinii,variety
2878164,7ddf754f-d193-4cc9-b351-99906754a03b,Fagaceae,Quercus,rechinii,NA,species
8463160,d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Sapindaceae,Acer,laevigatum,salweenense,variety
3767744,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,salweenense,NA,species
3768657,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,kuikiangense,NA,species
7327992,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,polyraphidoideum,NA,species
4167663,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,polyraphidoideum,montanum,variety
7327993,d9a4eedb-e985-4456-ad46-3df8472e00e8,Ericaceae,Rhododendron,polyraphidoideum,polyraphidoideum,variety
10667228,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,subenerve,nudistylum,variety
5285785,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,densata,pygmaea,variety
5285786,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,tabuliformis,pygmaea,variety
5285788,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,yunnanensis,tenuifolia,variety
5285790,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,kesiya,yunnanensis,subspecies
5285791,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,sinensis,yunnanensis,variety
5285789,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,insularis,yunnanensis,variety
5285793,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,tabuliformis,yunnanensis,variety
5285792,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,insularis,tenuifolia,variety
7348733,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,yunnanensis,tenuifolia,subspecies
3768317,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,sinuosum,NA,species
3768351,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,brachypterum,NA,species
3767890,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,saccharum,sinuosum,variety
6359305,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,barbatum,sinuosum,variety
3768166,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,nigrum,sinuosum,variety
3768362,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,saccharophorum,sinuosum,variety
4166406,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,rockii,NA,species
4171653,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Rhododendron,leucolasium,NA,species
11084227,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,jinggangshanensis,NA,species
3153371,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,chingii,NA,species
3153372,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,tenuipes,NA,species
3153374,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,glaucifolia,NA,species
11404988,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,jinggangshanensis,NA,species
3153373,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,conifera,chingii,subspecies
3987843,7ddf754f-d193-4cc9-b351-99906754a03b,Magnoliaceae,Magnolia,glaucifolia,NA,species
5683776,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,celsiana,NA,species
12368730,7ddf754f-d193-4cc9-b351-99906754a03b,Ericaceae,Erica,celsiana,NA,species
7909253,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,spontaneum,variety
12329945,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,latilobum,variety
8221140,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,coreanum,variety
8426966,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,palmatipartitum,variety
3768167,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,horonaiense,NA,species
12295109,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,polymorphum,septemlobum,variety
8879635,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,amoenum,NA,species
3768642,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,dissectum,NA,species
8358367,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,heptalobum,variety
3767877,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,nambuanum,NA,species
12359944,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,ornatum,miyajimense,variety
12268525,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,ornatum,latialatum,variety
7591494,d9a4eedb-e985-4456-ad46-3df8472e00e8,Sapindaceae,Acer,palmatum,palmatilobum,variety
6709420,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,matsumurae,subspecies
12364890,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,amoenum,latilobum,variety
12273650,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,septemlobum,variety
12343090,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,septemlobum,subspecies
8120312,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,sanguineum,amoenum,variety
4928739,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,amoenum,subspecies
6709424,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,dissectum,variety
12338131,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,nambuanum,variety
7527688,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,amoenum,nambuanum,variety
12290398,f382f0ce-323a-4091-bb9f-add557f3a9a2,Sapindaceae,Acer,sanguineum,euseptemlobum,variety
8136665,f382f0ce-323a-4091-bb9f-add557f3a9a2,Sapindaceae,Acer,euseptemlobum,NA,species
6709421,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,palmatum,matsumurae,variety
8021891,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,amoenum,matsumurae,variety
7661213,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,ornatum,matsumurae,variety
3768433,7ddf754f-d193-4cc9-b351-99906754a03b,Sapindaceae,Acer,matsumurae,NA,species
5285213,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,dabeshanensis,NA,species
5285214,7ddf754f-d193-4cc9-b351-99906754a03b,Pinaceae,Pinus,fenzeliana,dabeshanensis,variety
7984376,f382f0ce-323a-4091-bb9f-add557f3a9a2,Pinaceae,Pinus,armandi,dabeshanensis,subspecies
